Open,High,Low,Close,Volume,Dividends,Stock Splits,Moving_Average,RSI,MACD,Signal
176.05999755859375,178.57000732421875,173.1699981689453,173.7899932861328,50869700,0.0,0.0,,,0.0,0.0
173.9199981689453,174.75,167.41000366210938,170.66000366210938,64761900,0.0,0.0,,,-0.10032018025717093,-0.05573343347620607
171.1199951171875,180.5500030517578,169.8000030517578,177.2899932861328,90389400,0.0,0.0,,,0.1633540255865853,0.034056508762642844
188.38999938964844,191.0800018310547,181.22999572753906,182.47000122070312,118984100,0.0,0.0,,,0.5463320249959338,0.2075915752373349
185.8000030517578,186.0,176.9199981689453,178.00999450683594,82038200,0.0,0.0,176.44399719238282,,0.4986759151963156,0.29418258545835485
177.9199981689453,188.80999755859375,177.0,187.44000244140625,109786100,0.0,0.0,179.1739990234375,,1.0274709281831917,0.49294449637995386
186.55999755859375,187.1999969482422,182.3699951171875,184.86000061035156,68982300,0.0,0.0,182.01399841308594,,1.195395004913678,0.6707159804155126
184.67999267578125,185.2100067138672,179.66000366210938,181.57000732421875,55893100,0.0,0.0,182.87000122070313,,1.077241714543561,0.7684117590446073
182.3000030517578,183.9499969482422,180.69000244140625,183.00999450683594,63029500,0.0,0.0,182.97799987792968,,1.0804280533837414,0.8404890709577656
184.97000122070312,188.8000030517578,182.5500030517578,182.5800018310547,61992100,0.0,0.0,183.89200134277343,,1.0401132878346004,0.8852164837080632
184.39999389648438,187.97000122070312,182.00999450683594,187.35000610351562,63678300,0.0,0.0,183.8740020751953,,1.3504815498273501,0.9870138216801171
186.5399932861328,197.75999450683594,186.36000061035156,196.3699951171875,95737100,0.0,0.0,186.1760009765625,,2.2523106389450334,1.2587465135290217
195.1699981689453,198.72000122070312,194.0500030517578,197.4199981689453,72746500,0.0,0.0,189.34599914550782,,2.9954588258765114,1.626295177488361
199.5500030517578,203.1999969482422,195.25999450683594,197.8800048828125,95438100,0.0,0.0,192.32000122070312,73.22153552251592,3.572604102364096,2.0334644567441025
201.02000427246094,213.22999572753906,200.85000610351562,209.86000061035156,135691400,0.0,0.0,197.7760009765625,78.24590533763877,4.960843008231365,2.6402909771281173
218.88999938964844,231.3000030517578,218.05999755859375,231.25999450683594,205047900,0.0,0.0,206.55799865722656,86.89722705072545,7.774327855577752,3.6968374934248796
234.55999755859375,248.35000610351562,234.25,246.38999938964844,166561500,0.0,0.0,216.56199951171874,88.12624686977594,11.186836327140298,5.2293462904030275
249.80999755859375,252.3699951171875,242.4600067138672,251.52000427246094,154501200,0.0,0.0,227.3820007324219,88.11969145468989,14.212227676827638,7.058880526503811
247.7100067138672,259.44000244140625,244.57000732421875,252.94000244140625,157219600,0.0,0.0,238.3940002441406,92.80248031636759,16.601537453558763,8.99531893039217
251.0,265.6099853515625,250.3000030517578,262.3299865722656,160210900,0.0,0.0,248.88799743652345,92.79918768580798,19.191121410419044,11.0582635586448
262.79998779296875,267.5899963378906,257.8599853515625,263.260009765625,128519400,0.0,0.0,255.28800048828126,95.66637140974426,21.173014485564806,13.100045861829338
263.29998779296875,271.0,239.64999389648438,241.02999877929688,221707300,0.0,0.0,254.21600036621095,78.37373169870023,20.539505450627445,14.598998094877663
235.8000030517578,251.83999633789062,233.08999633789062,248.22999572753906,155955800,0.0,0.0,253.55799865722656,79.500631526638,20.542043560642355,15.794665160625549
255.97000122070312,265.6000061035156,251.72999572753906,252.63999938964844,146912900,0.0,0.0,253.497998046875,80.58853720308522,20.79910166428803,16.80030144443868
255.30999755859375,258.6199951171875,245.8000030517578,256.55999755859375,126332500,0.0,0.0,252.34400024414063,80.44338140202575,21.21776490686659,17.6871445353949
252.72999572753906,258.4700012207031,246.17999267578125,248.5,115584800,0.0,0.0,249.39199829101562,73.12571853435509,20.616576653274763,18.274807059968815
251.08999633789062,257.1400146484375,247.1999969482422,249.22999572753906,110869000,0.0,0.0,251.03199768066406,73.04919957553989,20.050571381560985,18.63082071248056
247.7899932861328,249.44000244140625,236.8300018310547,239.1999969482422,87403900,0.0,0.0,249.2259979248047,66.93997613593584,18.46358547185966,18.597308842973483
244.2100067138672,253.2100067138672,243.75,251.50999450683594,101225400,0.0,0.0,248.9999969482422,67.02918921670724,18.270454175529693,18.531836596089878
253.60000610351562,255.75999450683594,245.6300048828125,246.3800048828125,111928200,0.0,0.0,246.96399841308593,57.13073465698022,17.470106595852343,18.319227398604085
225.4199981689453,225.99000549316406,214.7100067138672,215.99000549316406,167942900,0.0,0.0,240.46199951171874,37.46702085980157,13.644249888236857,17.38330500388577
216.8000030517578,226.0,216.22999572753906,220.25,100636500,0.0,0.0,234.66600036621094,37.015195048553515,10.896626235628332,16.084940579958467
221.19000244140625,222.27999877929688,215.3300018310547,219.8000030517578,94604100,0.0,0.0,230.78600158691407,36.12692441980121,8.558921313632766,14.57878208533345
224.89999389648438,234.27000427246094,224.6999969482422,232.10000610351562,129201800,0.0,0.0,226.90400390625,37.64610585994839,7.87606076093553,13.237557738914754
232.25,232.41000366210938,220.0,222.6199951171875,100560300,0.0,0.0,222.152001953125,34.47669345172943,6.2908310669085665,11.847648590380269
227.89999389648438,234.67999267578125,226.7899932861328,232.07000732421875,67497000,0.0,0.0,225.36800231933594,46.20725032785987,5.949156867296409,10.667567287485882
227.69000244140625,231.8699951171875,214.3300018310547,216.86000061035156,83861900,0.0,0.0,224.69000244140625,37.5644200813544,4.043436492301964,9.342397094597622
214.8800048828125,216.1300048828125,205.77999877929688,207.6699981689453,82880100,0.0,0.0,222.26400146484374,32.8240776248182,1.5111372388749373,7.775819758069762
